"Notice publication number","Publication date",Title,"Official name","Type of procedure","The contract is awarded within a framework agreement","Identifier of the contract",Title,"Lot technical ID","Number of tenders or requests to participate received","Contractor awarded","Value of the tender","Value of the lowest admissible tender","Value of the highest admissible tender",Currency
470938-2025,"18/07/2025 (UTC+02)","Germany – Construction work – Neubau Flügel M am Standort des JRC Karlsruhe - Lieferung, Montage und Inbetriebnahme von Komponenten der Anlagensicherung (Gewerk AS)","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)","Negotiated with prior publication of a call for competition / competitive with negotiation",,801002616,,LOT-0001,,"SEAR GmbH","6 119 761,86",,,EUR
471082-2025,"18/07/2025 (UTC+02)","Belgium – Legislative services – Study to support the evaluation and review of Audiovisual Media Services Directive","European Commission, DG CNECT - Communications Networks, Content and Technology",Open,,300129983,,LOT-0001,,"INTELLERA CONSULTING SPA---TECHNOPOLIS CONSULTING GROUP BELGIUM---Institut für Europäisches Medienrecht (E.M.R.) e.V.","595 775,00",,,EUR
471149-2025,"18/07/2025 (UTC+02)","Germany – Building installation work – Neubau Flügel M am Standort des JRC Karlsruhe Lieferung der Technischen Gebäudeausrüstung TGA Teil 1 – Gewerke Lüftungs-, Verfahrens- und Maschinentechnik","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)","Negotiated with prior publication of a call for competition / competitive with negotiation",,801002618,,LOT-0001,,"KRANTZ GMBH","37 953 549,89",,,EUR
471375-2025,"18/07/2025 (UTC+02)","Germany – Electrical installation work of electrical distribution apparatus – Neubau Flügel M am Standort des JRC Karlsruhe Lieferung der Technischen Gebäudeausrüstung TGA Teil 2 – Gewerke Elektrotechnik, Leit- und Kommunikationstechnik, Strahlenschutzmesstechnik","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)","Negotiated with prior publication of a call for competition / competitive with negotiation",,801002610,,LOT-0001,,"PPA ENERGO s.r.o.","28 530 592,10",,,EUR
482108-2025,"23/07/2025 (UTC+02)","Germany – Decommissioning services – Verschrottung und Entsorgung von kontaminierten Handschuhkästen im JRC Karlsruhe","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)",Restricted,,"CCR.474-2025-06 KAR DE",,LOT-0001,,"Veltec Service GmbH",," "," ",
487845-2025,"25/07/2025 (UTC+02)","Belgium – Legal advisory and information services – Legal advice for the Welcome Offices of the European Commission (6 lots)","European Commission, DG HR - Human Resources and Security",Open,,EC-HR/2024/OP/0190,,LOT-0002,,"Silvio Battista---POMATI GIACOMO---Avv. Stefano Colombetti",," "," ",
488724-2025,"25/07/2025 (UTC+02)","Belgium – Business services: law, marketing, consulting, recruitment, printing and security – EXTERNAL ASSISTANCE SERVICES IN RELATION TO THE IMPLEMENTATION OF CERTAIN ASPECTS OF THE EUROPEAN COMMISSION’S MIDDLE MANAGEMENT POLICIES","European Commission, DG HR - Human Resources and Security",Open,,EC-HR/2024/OP/0316,,LOT-0001,,"Organisation Development & Research Limited",," "," ",
488795-2025,"25/07/2025 (UTC+02)","Germany – Software-related services – Supply, use and maintenance of Nuclear Material Accountancy Software according to Commission Regulation (Euratom) 302/2005 for the JRC Karlsruhe, JRC Geel and JRC Ispra","European Commission, DG JRC - Joint Research Centre","Negotiated without prior call for competition",,"300125968-2025-08 KAR DE",,LOT-0001,,"STUDIECENTRUM VOOR KERNENERGIE ~ CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE","940 168,00",,,EUR
492200-2025,"28/07/2025 (UTC+02)","Germany – Repair and maintenance services of measuring apparatus – Instandhaltung von Strahlenmessinstrumenten im JRC Karlsruhe","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)",Restricted,,"CCR.476-2025-07 KAR DE",,LOT-0001,,"PRESTEL MESSTECHNIK GMBH",," "," ",
492235-2025,"28/07/2025 (UTC+02)","Germany – Architectural, construction, engineering and inspection services – Objektüberwachungs- und Planungsleistungen Flügel M","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)",Restricted,,801003255,,LOT-0001,,"REINSTEIN GMBH","2 711 421,00",,,EUR
492344-2025,"28/07/2025 (UTC+02)","Germany – Structural steelworks – Stahlbauarbeiten beim Neubau Flügel M im JRC Karlsruhe","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)",Open,,801003190,,LOT-0001,,"Metallbau Garnatz GmbH","97 099,00",,,EUR
495051-2025,"29/07/2025 (UTC+02)","Kenya – Research and development services and related consultancy services – Strategic Stabilisation Support in Somalia","European Commission, FPI - Service for Foreign Policy Instruments","Negotiated without prior call for competition",,"NDICI CRISIS FPI/2025/483-219",,LOT-0001,,"GIST Research Ltd","249 992,00",,,EUR
495424-2025,"29/07/2025 (UTC+02)","Belgium – Network management software services – EC-BUDG/2025/NP/0009- SAP SERVICE AGREEMENT","European Commission","Negotiated without prior call for competition",,"EC-BUDG/2025/NP/0009 – SAP Framework Agreement",,LOT-0001,,"SAP Belgium – Systems Applications and Products S.A./N.V.",," "," ",
496518-2025,"29/07/2025 (UTC+02)","Uganda – Research and development services and related consultancy services – Political economy analysis of Uganda - DRC border","European Commission, INTPA - International Partnerships","Negotiated without prior call for competition",,NDICIAFRICA/2025/485479,,LOT-0001,,"GIST RESEARCH LIMITED","179 631,25",,,EUR
498671-2025,"30/07/2025 (UTC+02)","Belgium, France – Television broadcast transmission services – Tracking the use and dissemination of the audiovisual productions of the European institutions on television and social media","European Parliament, COMM - Directorate-General for Communication, European Commission, DG COMM - Communication",Open,,"COMM/ME-DIR_A/FWC/2025/13",,LOT-0001,,"Teletrax TV Data UK Limited",," "," ",
501137-2025,"31/07/2025 (UTC+02)","Belgium – Repair and maintenance services of building installations – Service de maintenance des installations de télégestion des immeubles occupés et/ou gérés par la Commission européenne localisés dans la Région de Bruxelles-Capitale et environs","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels","Negotiated without prior call for competition",,25PN0039L3,,LOT-0003,,SIEMENS,," "," ",
501294-2025,"31/07/2025 (UTC+02)","Belgium – Repair and maintenance services of building installations – Service de maintenance des installations de télégestion des immeubles occupés et/ou gérés par la Commission européenne localisés dans la Région de Bruxelles-Capitale et environs","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels","Negotiated without prior call for competition",,25PN0039L4,,LOT-0004,,"Sauter Controls",," "," ",
501651-2025,"31/07/2025 (UTC+02)","Belgium – Technical testing, analysis and consultancy services – Standardisation of jet fire, pool fire and clogging tests for dry chemical powder used in fixed fire-extinguishing systems","European Commission, DG MOVE - Mobility and Transport",Open,,"EC-MOVE/2025/OP/0001 - Standardisation of jet fire",,LOT-0001,,"DANSK BRAND- OG SIKRINGSTEKNISK INSTITUT FORENING","242 687,50",,,EUR
502228-2025,"31/07/2025 (UTC+02)","Belgium – Repair and maintenance services of building installations – Service de maintenance des installations de télégestion des immeubles occupés et/ou gérés par la Commission européenne localisés dans la Région de Bruxelles-Capitale et environs","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels","Negotiated without prior call for competition",,25PN0039L2,,LOT-0002,,"Johnson Controls BV",," "," ",
503165-2025,"31/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – FREIA","European Commission, Directorate-General for Digital Services, See the list of participating entities in the FREIA Tender Specifications","Other multiple stage procedure","no, no, no, no",DI-08271,DI-08271,LOT-0001,,"SOPRA STERIA BELGIUM NV/SA---DELOITTE CONSULTING & ADVISORY BV---CRONOS EUROPA LUXEMBOURG S.A.",," "," ",
503165-2025,"31/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – FREIA","European Commission, Directorate-General for Digital Services, See the list of participating entities in the FREIA Tender Specifications","Other multiple stage procedure","no, no, no, no",DI-08270,DI-08270,LOT-0001,,"EVIDEN BELGIUM NV/SA---LEONARDO SPA",," "," ",
503165-2025,"31/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – FREIA","European Commission, Directorate-General for Digital Services, See the list of participating entities in the FREIA Tender Specifications","Other multiple stage procedure","no, no, no, no",DI-08273,DI-08273,LOT-0001,,"CAPGEMINI BELGIUM SA/NV---SOGETI LUXEMBOURG SA---CAPGEMINI TECHNOLOGY SERVICES SAS---CAPGEMINI DEUTSCHLAND GMBH---AIRBUS PROTECT SAS---NVISO BELGIUM SRL",," "," ",
503165-2025,"31/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – FREIA","European Commission, Directorate-General for Digital Services, See the list of participating entities in the FREIA Tender Specifications","Other multiple stage procedure","no, no, no, no",DI-08272,DI-08272,LOT-0001,,"WAVESTONE SA---UNISYSTEMS LUXEMBOURG S.A.R.L.---UNISYS BELGIUM NV",," "," ",
503165-2025,"31/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – FREIA","European Commission, Directorate-General for Digital Services, See the list of participating entities in the FREIA Tender Specifications","Other multiple stage procedure","no, no, no, no",DI-08275,DI-08275,LOT-0002,,"SOPRA STERIA BELGIUM NV/SA---DELOITTE CONSULTING & ADVISORY BV---CRONOS EUROPA LUXEMBOURG S.A.",," "," ",
503165-2025,"31/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – FREIA","European Commission, Directorate-General for Digital Services, See the list of participating entities in the FREIA Tender Specifications","Other multiple stage procedure","no, no, no, no",DI-08274,DI-08274,LOT-0002,,"T-SYSTEMS INTERNATIONAL GMBH---DEUTSCHE TELEKOM GLOBAL BUSINESS SOLUTIONS BELGIUM SA/NV---COSMOTE GLOBAL SOLUTIONS SA/NV---ERNST & YOUNG CONSULTING BV/SRL---ORANGE BUSINESS BELGIUM SA/NV",," "," ",
503165-2025,"31/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – FREIA","European Commission, Directorate-General for Digital Services, See the list of participating entities in the FREIA Tender Specifications","Other multiple stage procedure","no, no, no, no",DI-08277,DI-08277,LOT-0002,,"CAPGEMINI BELGIUM SA/NV---SOGETI LUXEMBOURG SA---PWC EU SERVICES EESV---CAPGEMINI TECHNOLOGY SERVICES SAS---CAPGEMINI DEUTSCHLAND GMBH---AIRBUS PROTECT SAS---NVISO BELGIUM SRL",," "," ",
503165-2025,"31/07/2025 (UTC+02)","Belgium – IT services: consulting, software development, Internet and support – FREIA","European Commission, Directorate-General for Digital Services, See the list of participating entities in the FREIA Tender Specifications","Other multiple stage procedure","no, no, no, no",DI-08276,DI-08276,LOT-0002,,"NTT DATA BELGIQUE SRL---ΝΕΤCOMPANY SA",," "," ",
